Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.027999999999999997,0.0017888543819998314,0.01,0.0,0.017999999999999995,0.0017888543819998314,4.545454545454546e-05,0.0,220
0.028000000000000004,0.0017888543819998314,0.006,0.002190890230020664,0.022000000000000006,0.0028284271247461896,2.7272727272727273e-05,9.958591954639381e-06,220
0.026000000000000002,0.0021908902300206636,0.008,0.0017888543819998316,0.018000000000000002,0.0028284271247461896,3.6363636363636364e-05,8.131156281817417e-06,220
0.026000000000000002,0.0035777087639996628,0.006,0.002190890230020664,0.020000000000000004,0.004195235392680605,2.7272727272727273e-05,9.958591954639381e-06,220
0.03,0.0,0.012,0.0017888543819998316,0.018,0.0017888543819998316,5.4545454545454546e-05,8.131156281817417e-06,220
0.024,0.0021908902300206636,0.008,0.0017888543819998316,0.016,0.0028284271247461896,3.6363636363636364e-05,8.131156281817417e-06,220
0.026000000000000002,0.003577708763999663,0.008,0.0017888543819998316,0.018000000000000002,0.003999999999999999,3.6363636363636364e-05,8.131156281817417e-06,220
0.032,0.0017888543819998316,0.008,0.0017888543819998316,0.024,0.002529822128134703,3.6363636363636364e-05,8.131156281817417e-06,220
0.036000000000000004,0.0021908902300206644,0.012,0.0017888543819998316,0.024000000000000004,0.00282842712474619,5.4545454545454546e-05,8.131156281817417e-06,220
0.042,0.004381780460041328,0.004,0.0021908902300206644,0.038000000000000006,0.004898979485566356,1.8181818181818182e-05,9.958591954639385e-06,220
0.034,0.003577708763999663,0.008,0.0017888543819998316,0.026000000000000002,0.003999999999999999,3.6363636363636364e-05,8.131156281817417e-06,220
0.044000000000000004,0.0021908902300206644,0.01,0.0,0.034,0.0021908902300206644,4.545454545454546e-05,0.0,220
0.042,0.003346640106136302,0.006,0.0021908902300206644,0.036000000000000004,0.004,2.7272727272727273e-05,9.958591954639385e-06,220
0.05,0.0,0.012,0.004381780460041328,0.038000000000000006,0.004381780460041328,5.4545454545454546e-05,1.9917183909278762e-05,220
0.046,0.003577708763999663,0.018,0.005215361924162118,0.028,0.006324555320336758,8.181818181818182e-05,2.3706190564373265e-05,220
0.055999999999999994,0.0021908902300206636,0.01,0.00282842712474619,0.04599999999999999,0.0035777087639996628,4.545454545454546e-05,1.2856486930664501e-05,220
0.055999999999999994,0.0021908902300206636,0.012,0.004381780460041328,0.044,0.004898979485566355,5.4545454545454546e-05,1.9917183909278762e-05,220
0.06,0.0028284271247461905,0.004,0.0021908902300206644,0.055999999999999994,0.003577708763999664,1.8181818181818182e-05,9.958591954639385e-06,220
0.068,0.007155417527999326,0.028000000000000004,0.01213260071048248,0.04,0.014085453489327207,0.00012727272727272728,5.514818504764764e-05,220
0.07,0.0,0.006,0.002190890230020664,0.064,0.002190890230020664,2.7272727272727273e-05,9.958591954639381e-06,220
0.07400000000000001,0.0021908902300206636,0.008,0.0017888543819998316,0.066,0.0028284271247461896,3.6363636363636364e-05,8.131156281817417e-06,220
0.07600000000000001,0.002190890230020663,0.014000000000000002,0.00606630035524124,0.06200000000000001,0.0064498061986388395,6.363636363636364e-05,2.757409252382382e-05,220
0.08800000000000001,0.009549869109050658,0.015999999999999997,0.010039920318408906,0.07200000000000001,0.013856406460551019,7.272727272727271e-05,4.563600144731321e-05,220
0.076,0.00606630035524124,0.004,0.0021908902300206644,0.072,0.0064498061986388395,1.8181818181818182e-05,9.958591954639385e-06,220
0.092,0.0017888543819998333,0.006,0.002190890230020664,0.086,0.002828427124746191,2.7272727272727273e-05,9.958591954639381e-06,220
0.088,0.0017888543819998305,0.006,0.0021908902300206644,0.08199999999999999,0.002828427124746189,2.7272727272727273e-05,9.958591954639385e-06,220
0.08800000000000001,0.0033466401061363026,0.006,0.0021908902300206644,0.082,0.004,2.7272727272727273e-05,9.958591954639385e-06,220
0.094,0.002190890230020666,0.01,0.004898979485566356,0.084,0.005366563145999496,4.545454545454546e-05,2.226808857075616e-05,220
0.096,0.003577708763999664,0.006,0.002190890230020664,0.09,0.004195235392680606,2.7272727272727273e-05,9.958591954639381e-06,220
0.1,0.004898979485566356,0.008,0.0033466401061363017,0.092,0.005932958789676529,3.6363636363636364e-05,1.5212000482437735e-05,220
0.10800000000000001,0.001788854381999831,0.012,0.0033466401061363017,0.09600000000000002,0.0037947331922020544,5.4545454545454546e-05,1.5212000482437735e-05,220
0.096,0.007797435475847169,0.006,0.002190890230020664,0.09,0.008099382692526632,2.7272727272727273e-05,9.958591954639381e-06,220
0.10800000000000001,0.0017888543819998305,0.01,0.0,0.09800000000000002,0.0017888543819998305,4.545454545454546e-05,0.0,220
0.10400000000000001,0.005366563145999494,0.008,0.0017888543819998316,0.096,0.005656854249492379,3.6363636363636364e-05,8.131156281817417e-06,220
0.11599999999999999,0.0021908902300206636,0.01,0.0,0.106,0.0021908902300206636,4.545454545454546e-05,0.0,220
0.12,0.0028284271247461905,0.01,0.0,0.11,0.0028284271247461905,4.545454545454546e-05,0.0,220
0.124,0.0021908902300206666,0.008,0.0017888543819998316,0.11599999999999999,0.0028284271247461914,3.6363636363636364e-05,8.131156281817417e-06,220
0.128,0.0017888543819998333,0.026000000000000002,0.014587666023048377,0.10200000000000001,0.01469693845669907,0.0001181818181818182,6.630757283203807e-05,220
0.13,0.0,0.012,0.0017888543819998316,0.11800000000000001,0.0017888543819998316,5.4545454545454546e-05,8.131156281817417e-06,220
0.136,0.0021908902300206666,0.008,0.0017888543819998316,0.128,0.0028284271247461914,3.6363636363636364e-05,8.131156281817417e-06,220
0.132,0.003346640106136305,0.008,0.0017888543819998316,0.124,0.003794733192202058,3.6363636363636364e-05,8.131156281817417e-06,220
0.138,0.0017888543819998333,0.006,0.002190890230020664,0.132,0.002828427124746191,2.7272727272727273e-05,9.958591954639381e-06,220
0.14400000000000002,0.003577708763999661,0.006,0.002190890230020664,0.138,0.004195235392680604,2.7272727272727273e-05,9.958591954639381e-06,220
0.14600000000000002,0.003577708763999661,0.01,0.0,0.136,0.003577708763999661,4.545454545454546e-05,0.0,220
0.15,0.0,0.008,0.0033466401061363017,0.142,0.0033466401061363017,3.6363636363636364e-05,1.5212000482437735e-05,220
0.154,0.002190890230020666,0.006,0.002190890230020664,0.148,0.0030983866769659345,2.7272727272727273e-05,9.958591954639381e-06,220
0.154,0.0021908902300206666,0.01,0.0,0.144,0.0021908902300206666,4.545454545454546e-05,0.0,220
0.156,0.004560701700396552,0.01,0.00282842712474619,0.146,0.005366563145999496,4.545454545454546e-05,1.2856486930664501e-05,220
0.15600000000000003,0.003577708763999661,0.016,0.007797435475847171,0.14,0.008579044235810886,7.272727272727273e-05,3.544288852657805e-05,220
0.16,0.005656854249492377,0.01,0.00282842712474619,0.15,0.006324555320336755,4.545454545454546e-05,1.2856486930664501e-05,220
0.17,0.0,0.019999999999999997,0.013564659966250536,0.15000000000000002,0.013564659966250536,9.090909090909089e-05,6.16575453011388e-05,220
0.17,0.0,0.008,0.0033466401061363017,0.162,0.0033466401061363017,3.6363636363636364e-05,1.5212000482437735e-05,220
0.17400000000000002,0.00219089023002066,0.012,0.0033466401061363017,0.162,0.003999999999999997,5.4545454545454546e-05,1.5212000482437735e-05,220
0.178,0.0017888543819998281,0.008,0.0017888543819998316,0.16999999999999998,0.002529822128134701,3.6363636363636364e-05,8.131156281817417e-06,220
0.182,0.0033466401061363013,0.008,0.0017888543819998316,0.174,0.0037947331922020544,3.6363636363636364e-05,8.131156281817417e-06,220
0.178,0.004381780460041328,0.004,0.0021908902300206644,0.174,0.004898979485566356,1.8181818181818182e-05,9.958591954639385e-06,220
0.192,0.006572670690061994,0.004,0.0021908902300206644,0.188,0.0069282032302755096,1.8181818181818182e-05,9.958591954639385e-06,220
0.176,0.006693280212272604,0.006,0.0021908902300206644,0.16999999999999998,0.007042726744663603,2.7272727272727273e-05,9.958591954639385e-06,220
0.20600000000000002,0.010039920318408906,0.016,0.005366563145999495,0.19,0.011384199576606165,7.272727272727273e-05,2.439346884545225e-05,220
0.192,0.003346640106136305,0.01,0.00282842712474619,0.182,0.0043817804600413315,4.545454545454546e-05,1.2856486930664501e-05,220
0.19200000000000003,0.007155417527999328,0.01,0.00282842712474619,0.18200000000000002,0.007694153624668539,4.545454545454546e-05,1.2856486930664501e-05,220
0.20400000000000001,0.00219089023002066,0.008,0.0017888543819998316,0.196,0.0028284271247461866,3.6363636363636364e-05,8.131156281817417e-06,220
0.202,0.007155417527999322,0.008,0.0017888543819998316,0.194,0.007375635565834305,3.6363636363636364e-05,8.131156281817417e-06,220
0.20800000000000002,0.0017888543819998281,0.006,0.002190890230020664,0.202,0.0028284271247461874,2.7272727272727273e-05,9.958591954639381e-06,220
0.21600000000000003,0.002190890230020666,0.008,0.0017888543819998316,0.20800000000000002,0.0028284271247461914,3.6363636363636364e-05,8.131156281817417e-06,220
0.21800000000000003,0.0017888543819998333,0.004,0.002190890230020664,0.21400000000000002,0.002828427124746191,1.8181818181818182e-05,9.958591954639381e-06,220
0.22200000000000003,0.0017888543819998336,0.008,0.0017888543819998316,0.21400000000000002,0.002529822128134705,3.6363636363636364e-05,8.131156281817417e-06,220
