Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.028000000000000004,0.0017888543819998314,0.012,0.0017888543819998316,0.016000000000000004,0.002529822128134703,5.4545454545454546e-05,8.131156281817417e-06,220
0.028000000000000004,0.0017888543819998314,0.012,0.004381780460041328,0.016000000000000004,0.004732863826479692,5.4545454545454546e-05,1.9917183909278762e-05,220
0.032,0.009121403400793104,0.004,0.0021908902300206644,0.028,0.00938083151964686,1.8181818181818182e-05,9.958591954639385e-06,220
0.024,0.0021908902300206636,0.008,0.0017888543819998316,0.016,0.0028284271247461896,3.6363636363636364e-05,8.131156281817417e-06,220
0.026000000000000002,0.0021908902300206636,0.022,0.011099549540409289,0.0040000000000000036,0.011313708498984762,9.999999999999999e-05,5.045249791095131e-05,220
0.027999999999999997,0.0017888543819998314,0.004,0.002190890230020664,0.023999999999999997,0.0028284271247461896,1.8181818181818182e-05,9.958591954639381e-06,220
0.024,0.002190890230020664,0.018,0.007155417527999326,0.006000000000000002,0.0074833147735478825,8.181818181818182e-05,3.252462512726967e-05,220
0.026000000000000002,0.003577708763999662,0.008,0.0017888543819998316,0.018000000000000002,0.003999999999999998,3.6363636363636364e-05,8.131156281817417e-06,220
0.036000000000000004,0.0021908902300206644,0.008,0.0017888543819998316,0.028000000000000004,0.00282842712474619,3.6363636363636364e-05,8.131156281817417e-06,220
0.038,0.0017888543819998316,0.008,0.0033466401061363017,0.03,0.003794733192202055,3.6363636363636364e-05,1.5212000482437735e-05,220
0.04,0.0,0.01,0.00282842712474619,0.03,0.00282842712474619,4.545454545454546e-05,1.2856486930664501e-05,220
0.04000000000000001,0.004898979485566357,0.008,0.0017888543819998316,0.03200000000000001,0.005215361924162119,3.6363636363636364e-05,8.131156281817417e-06,220
0.04,0.005656854249492381,0.019999999999999997,0.00565685424949238,0.020000000000000004,0.008,9.090909090909089e-05,2.5712973861329002e-05,220
0.05800000000000001,0.0071554175279993255,0.013999999999999999,0.003577708763999663,0.04400000000000001,0.007999999999999998,6.363636363636363e-05,1.6262312563634833e-05,220
0.05,0.0,0.006,0.0021908902300206644,0.044000000000000004,0.0021908902300206644,2.7272727272727273e-05,9.958591954639385e-06,220
0.052000000000000005,0.0033466401061363013,0.012,0.006572670690061993,0.04000000000000001,0.007375635565834309,5.4545454545454546e-05,2.987577586391815e-05,220
0.06,0.00848528137423857,0.013999999999999999,0.002190890230020664,0.046,0.008763560920082656,6.363636363636363e-05,9.958591954639381e-06,220
0.062,0.0017888543819998333,0.01,0.0,0.052,0.0017888543819998333,4.545454545454546e-05,0.0,220
0.062,0.0017888543819998333,0.006,0.002190890230020664,0.056,0.002828427124746191,2.7272727272727273e-05,9.958591954639381e-06,220
0.066,0.002190890230020666,0.008,0.0017888543819998316,0.058,0.0028284271247461914,3.6363636363636364e-05,8.131156281817417e-06,220
0.07200000000000001,0.0017888543819998305,0.008,0.0017888543819998316,0.064,0.002529822128134702,3.6363636363636364e-05,8.131156281817417e-06,220
0.07,0.0028284271247461905,0.006,0.0021908902300206644,0.064,0.003577708763999664,2.7272727272727273e-05,9.958591954639385e-06,220
0.076,0.003577708763999663,0.01,0.0,0.066,0.003577708763999663,4.545454545454546e-05,0.0,220
0.08199999999999999,0.001788854381999831,0.012,0.0017888543819998316,0.06999999999999999,0.0025298221281347026,5.4545454545454546e-05,8.131156281817417e-06,220
0.082,0.005215361924162118,0.008,0.0017888543819998316,0.07400000000000001,0.005513619500836088,3.6363636363636364e-05,8.131156281817417e-06,220
0.092,0.0017888543819998333,0.012,0.0017888543819998316,0.08,0.0025298221281347044,5.4545454545454546e-05,8.131156281817417e-06,220
0.086,0.006066300355241241,0.002,0.0017888543819998316,0.08399999999999999,0.006324555320336759,9.090909090909091e-06,8.131156281817417e-06,220
0.096,0.003577708763999663,0.008,0.0017888543819998316,0.088,0.003999999999999999,3.6363636363636364e-05,8.131156281817417e-06,220
0.094,0.003577708763999664,0.012,0.004381780460041328,0.082,0.00565685424949238,5.4545454545454546e-05,1.9917183909278762e-05,220
0.098,0.0017888543819998333,0.012,0.0017888543819998316,0.08600000000000001,0.0025298221281347044,5.4545454545454546e-05,8.131156281817417e-06,220
0.10999999999999999,0.00692820323027551,0.018,0.013971399357258383,0.09199999999999998,0.015594870951694342,8.181818181818182e-05,6.350636071481083e-05,220
0.11399999999999999,0.006066300355241242,0.006,0.0021908902300206644,0.10799999999999998,0.006449806198638841,2.7272727272727273e-05,9.958591954639385e-06,220
0.11200000000000002,0.001788854381999831,0.008,0.0017888543819998316,0.10400000000000001,0.0025298221281347026,3.6363636363636364e-05,8.131156281817417e-06,220
0.11399999999999999,0.002190890230020663,0.006,0.002190890230020664,0.10799999999999998,0.0030983866769659324,2.7272727272727273e-05,9.958591954639381e-06,220
0.11599999999999999,0.003577708763999661,0.008,0.0033466401061363017,0.10799999999999998,0.004898979485566354,3.6363636363636364e-05,1.5212000482437735e-05,220
0.11599999999999999,0.003577708763999661,0.014000000000000002,0.003577708763999663,0.102,0.005059644256269404,6.363636363636364e-05,1.6262312563634833e-05,220
0.124,0.0021908902300206666,0.008,0.0033466401061363017,0.11599999999999999,0.004000000000000001,3.6363636363636364e-05,1.5212000482437735e-05,220
0.126,0.002190890230020666,0.008,0.0017888543819998316,0.118,0.0028284271247461914,3.6363636363636364e-05,8.131156281817417e-06,220
0.11599999999999999,0.006693280212272605,0.004,0.002190890230020664,0.11199999999999999,0.007042726744663604,1.8181818181818182e-05,9.958591954639381e-06,220
0.122,0.005215361924162121,0.01,0.00282842712474619,0.112,0.005932958789676532,4.545454545454546e-05,1.2856486930664501e-05,220
0.138,0.0017888543819998333,0.008,0.0017888543819998316,0.13,0.0025298221281347044,3.6363636363636364e-05,8.131156281817417e-06,220
0.14200000000000002,0.0017888543819998281,0.004,0.002190890230020664,0.138,0.0028284271247461874,1.8181818181818182e-05,9.958591954639381e-06,220
0.132,0.005215361924162121,0.012,0.0017888543819998316,0.12000000000000001,0.0055136195008360905,5.4545454545454546e-05,8.131156281817417e-06,220
0.14400000000000002,0.00219089023002066,0.006,0.002190890230020664,0.138,0.00309838667696593,2.7272727272727273e-05,9.958591954639381e-06,220
0.14200000000000002,0.0071554175279993255,0.008,0.0033466401061363017,0.134,0.007899367063252598,3.6363636363636364e-05,1.5212000482437735e-05,220
0.154,0.0021908902300206666,0.006,0.002190890230020664,0.148,0.0030983866769659345,2.7272727272727273e-05,9.958591954639381e-06,220
0.156,0.0021908902300206666,0.008,0.0017888543819998316,0.148,0.0028284271247461914,3.6363636363636364e-05,8.131156281817417e-06,220
0.16,0.0,0.012,0.0017888543819998316,0.148,0.0017888543819998316,5.4545454545454546e-05,8.131156281817417e-06,220
0.154,0.003577708763999662,0.008,0.0017888543819998316,0.146,0.003999999999999998,3.6363636363636364e-05,8.131156281817417e-06,220
