Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.018,0.0017888543819998316,0.002,0.0017888543819998316,0.016,0.002529822128134703,9.090909090909091e-06,8.131156281817417e-06,220
0.008,0.004381780460041329,0.002,0.0017888543819998316,0.006,0.004732863826479692,9.090909090909091e-06,8.131156281817417e-06,220
0.018,0.0033466401061363017,0.0,0.0,0.018,0.0033466401061363017,0.0,0.0,220
0.018,0.004381780460041328,0.0,0.0,0.018,0.004381780460041328,0.0,0.0,220
0.016,0.002190890230020664,0.002,0.0017888543819998316,0.014,0.0028284271247461896,9.090909090909091e-06,8.131156281817417e-06,220
0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,220
0.026000000000000002,0.003577708763999663,0.0,0.0,0.026000000000000002,0.003577708763999663,0.0,0.0,220
0.026000000000000002,0.002190890230020664,0.004,0.002190890230020664,0.022000000000000002,0.003098386676965933,1.8181818181818182e-05,9.958591954639381e-06,220
0.032,0.0017888543819998316,0.0,0.0,0.032,0.0017888543819998316,0.0,0.0,220
0.034,0.008294576541331089,0.002,0.0017888543819998316,0.032,0.00848528137423857,9.090909090909091e-06,8.131156281817417e-06,220
0.038,0.0033466401061363026,0.0,0.0,0.038,0.0033466401061363026,0.0,0.0,220
0.038,0.0017888543819998316,0.002,0.0017888543819998316,0.036,0.002529822128134703,9.090909090909091e-06,8.131156281817417e-06,220
0.044000000000000004,0.0021908902300206644,0.002,0.0017888543819998316,0.042,0.00282842712474619,9.090909090909091e-06,8.131156281817417e-06,220
0.054000000000000006,0.00606630035524124,0.0,0.0,0.054000000000000006,0.00606630035524124,0.0,0.0,220
0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,220
0.052000000000000005,0.0017888543819998305,0.004,0.003577708763999663,0.048,0.003999999999999999,1.8181818181818182e-05,1.6262312563634833e-05,220
0.05,0.004898979485566357,0.002,0.0017888543819998316,0.048,0.005215361924162119,9.090909090909091e-06,8.131156281817417e-06,220
0.057999999999999996,0.0017888543819998305,0.004,0.002190890230020664,0.05399999999999999,0.002828427124746189,1.8181818181818182e-05,9.958591954639381e-06,220
0.06,0.0028284271247461905,0.002,0.0017888543819998316,0.057999999999999996,0.0033466401061363026,9.090909090909091e-06,8.131156281817417e-06,220
0.06,0.0,0.006,0.003577708763999663,0.054,0.003577708763999663,2.7272727272727273e-05,1.6262312563634833e-05,220
0.066,0.004560701700396552,0.0,0.0,0.066,0.004560701700396552,0.0,0.0,220
0.064,0.002190890230020666,0.0,0.0,0.064,0.002190890230020666,0.0,0.0,220
0.07,0.0028284271247461905,0.004,0.003577708763999663,0.066,0.004560701700396552,1.8181818181818182e-05,1.6262312563634833e-05,220
0.086,0.007797435475847169,0.002,0.0017888543819998316,0.08399999999999999,0.007999999999999998,9.090909090909091e-06,8.131156281817417e-06,220
0.082,0.0017888543819998305,0.004,0.002190890230020664,0.078,0.002828427124746189,1.8181818181818182e-05,9.958591954639381e-06,220
0.084,0.0021908902300206636,0.002,0.0017888543819998316,0.082,0.0028284271247461896,9.090909090909091e-06,8.131156281817417e-06,220
0.08399999999999999,0.003577708763999661,0.004,0.002190890230020664,0.07999999999999999,0.004195235392680604,1.8181818181818182e-05,9.958591954639381e-06,220
0.084,0.0021908902300206636,0.002,0.0017888543819998316,0.082,0.0028284271247461896,9.090909090909091e-06,8.131156281817417e-06,220
0.092,0.0017888543819998333,0.0,0.0,0.092,0.0017888543819998333,0.0,0.0,220
0.10200000000000001,0.004381780460041327,0.002,0.0017888543819998316,0.1,0.0047328638264796915,9.090909090909091e-06,8.131156281817417e-06,220
0.098,0.0017888543819998333,0.006,0.005366563145999495,0.092,0.005656854249492381,2.7272727272727273e-05,2.439346884545225e-05,220
0.10200000000000001,0.0017888543819998305,0.0,0.0,0.10200000000000001,0.0017888543819998305,0.0,0.0,220
0.10800000000000001,0.0017888543819998305,0.002,0.0017888543819998316,0.10600000000000001,0.002529822128134702,9.090909090909091e-06,8.131156281817417e-06,220
0.10400000000000001,0.005366563145999494,0.0,0.0,0.10400000000000001,0.005366563145999494,0.0,0.0,220
0.10799999999999998,0.0033466401061363004,0.0,0.0,0.10799999999999998,0.0033466401061363004,0.0,0.0,220
0.11400000000000002,0.00606630035524124,0.004,0.002190890230020664,0.11000000000000001,0.0064498061986388395,1.8181818181818182e-05,9.958591954639381e-06,220
0.12,0.004898979485566356,0.0,0.0,0.12,0.004898979485566356,0.0,0.0,220
0.11599999999999999,0.0021908902300206636,0.004,0.003577708763999663,0.11199999999999999,0.004195235392680605,1.8181818181818182e-05,1.6262312563634833e-05,220
0.124,0.0035777087639996667,0.006,0.003577708763999663,0.118,0.005059644256269409,2.7272727272727273e-05,1.6262312563634833e-05,220
0.128,0.0017888543819998333,0.002,0.0017888543819998316,0.126,0.0025298221281347044,9.090909090909091e-06,8.131156281817417e-06,220
0.13,0.0028284271247461922,0.004,0.002190890230020664,0.126,0.003577708763999665,1.8181818181818182e-05,9.958591954639381e-06,220
0.134,0.002190890230020666,0.002,0.0017888543819998316,0.132,0.0028284271247461914,9.090909090909091e-06,8.131156281817417e-06,220
0.138,0.0033466401061363013,0.0,0.0,0.138,0.0033466401061363013,0.0,0.0,220
0.14,0.0028284271247461883,0.016,0.014310835055998653,0.12400000000000001,0.014587666023048373,7.272727272727273e-05,6.504925025453933e-05,220
0.14,0.0028284271247461883,0.004,0.003577708763999663,0.136,0.00456070170039655,1.8181818181818182e-05,1.6262312563634833e-05,220
0.14800000000000002,0.0017888543819998281,0.002,0.0017888543819998316,0.14600000000000002,0.002529822128134701,9.090909090909091e-06,8.131156281817417e-06,220
0.15,0.005656854249492381,0.0,0.0,0.15,0.005656854249492381,0.0,0.0,220
0.152,0.0017888543819998333,0.002,0.0017888543819998316,0.15,0.0025298221281347044,9.090909090909091e-06,8.131156281817417e-06,220
0.156,0.0035777087639996667,0.002,0.0017888543819998316,0.154,0.004000000000000003,9.090909090909091e-06,8.131156281817417e-06,220
0.156,0.002190890230020666,0.004,0.003577708763999663,0.152,0.004195235392680607,1.8181818181818182e-05,1.6262312563634833e-05,220
0.158,0.0017888543819998333,0.0,0.0,0.158,0.0017888543819998333,0.0,0.0,220
0.168,0.0017888543819998333,0.0,0.0,0.168,0.0017888543819998333,0.0,0.0,220
0.168,0.0017888543819998333,0.014000000000000002,0.008763560920082658,0.154,0.00894427190999916,6.363636363636364e-05,3.983436781855754e-05,220
0.18000000000000002,0.008944271909999158,0.0,0.0,0.18000000000000002,0.008944271909999158,0.0,0.0,220
0.176,0.00219089023002066,0.0,0.0,0.176,0.00219089023002066,0.0,0.0,220
0.178,0.0017888543819998281,0.0,0.0,0.178,0.0017888543819998281,0.0,0.0,220
0.182,0.0033466401061363013,0.004,0.002190890230020664,0.178,0.003999999999999999,1.8181818181818182e-05,9.958591954639381e-06,220
0.186,0.002190890230020666,0.0,0.0,0.186,0.002190890230020666,0.0,0.0,220
0.186,0.003577708763999661,0.002,0.0017888543819998316,0.184,0.0039999999999999975,9.090909090909091e-06,8.131156281817417e-06,220
0.19,0.0,0.002,0.0017888543819998316,0.188,0.0017888543819998316,9.090909090909091e-06,8.131156281817417e-06,220
0.196,0.002190890230020666,0.006,0.003577708763999663,0.19,0.004195235392680607,2.7272727272727273e-05,1.6262312563634833e-05,220
0.194,0.0035777087639996667,0.002,0.0017888543819998316,0.192,0.004000000000000003,9.090909090909091e-06,8.131156281817417e-06,220
0.20400000000000001,0.00219089023002066,0.004,0.0021908902300206644,0.2,0.0030983866769659306,1.8181818181818182e-05,9.958591954639385e-06,220
0.20600000000000002,0.00357770876399966,0.002,0.0017888543819998316,0.20400000000000001,0.003999999999999997,9.090909090909091e-06,8.131156281817417e-06,220
0.20600000000000002,0.003577708763999661,0.006,0.003577708763999663,0.2,0.005059644256269404,2.7272727272727273e-05,1.6262312563634833e-05,220
0.21400000000000002,0.002190890230020666,0.002,0.0017888543819998316,0.21200000000000002,0.0028284271247461914,9.090909090909091e-06,8.131156281817417e-06,220
0.21400000000000002,0.002190890230020666,0.002,0.0017888543819998316,0.21200000000000002,0.0028284271247461914,9.090909090909091e-06,8.131156281817417e-06,220
0.21400000000000002,0.003577708763999662,0.01,0.008944271909999158,0.20400000000000001,0.009633275663033835,4.545454545454546e-05,4.0655781409087084e-05,220
0.21600000000000003,0.004560701700396552,0.0,0.0,0.21600000000000003,0.004560701700396552,0.0,0.0,220
0.22400000000000003,0.002190890230020666,0.0,0.0,0.22400000000000003,0.002190890230020666,0.0,0.0,220
0.22999999999999998,0.0028284271247461883,0.002,0.0017888543819998316,0.22799999999999998,0.0033466401061363004,9.090909090909091e-06,8.131156281817417e-06,220
0.22400000000000003,0.0035777087639996667,0.0,0.0,0.22400000000000003,0.0035777087639996667,0.0,0.0,220
0.246,0.009633275663033838,0.014000000000000002,0.012521980673998824,0.23199999999999998,0.015798734126505204,6.363636363636364e-05,5.691809397272193e-05,220
0.236,0.00219089023002066,0.0,0.0,0.236,0.00219089023002066,0.0,0.0,220
0.242,0.005215361924162118,0.012,0.01073312629199899,0.22999999999999998,0.011933147112141038,5.4545454545454546e-05,4.87869376909045e-05,220
0.24,0.0028284271247461883,0.002,0.0017888543819998316,0.238,0.0033466401061363004,9.090909090909091e-06,8.131156281817417e-06,220
0.248,0.0017888543819998333,0.002,0.0017888543819998316,0.246,0.0025298221281347044,9.090909090909091e-06,8.131156281817417e-06,220
0.254,0.008294576541331087,0.018,0.013971399357258383,0.23600000000000002,0.01624807680927192,8.181818181818182e-05,6.350636071481083e-05,220
0.25,0.0028284271247461922,0.002,0.0017888543819998316,0.248,0.003346640106136304,9.090909090909091e-06,8.131156281817417e-06,220
0.25,0.0028284271247461922,0.0,0.0,0.25,0.0028284271247461922,0.0,0.0,220
0.26,0.0028284271247461922,0.0,0.0,0.26,0.0028284271247461922,0.0,0.0,220
0.26,0.0028284271247461922,0.0,0.0,0.26,0.0028284271247461922,0.0,0.0,220
0.264,0.002190890230020666,0.004,0.003577708763999663,0.26,0.004195235392680607,1.8181818181818182e-05,1.6262312563634833e-05,220
0.264,0.0035777087639996667,0.002,0.0017888543819998316,0.262,0.004000000000000003,9.090909090909091e-06,8.131156281817417e-06,220
0.272,0.0017888543819998333,0.0,0.0,0.272,0.0017888543819998333,0.0,0.0,220
0.278,0.0017888543819998333,0.0,0.0,0.278,0.0017888543819998333,0.0,0.0,220
0.28200000000000003,0.006572670690061989,0.002,0.0017888543819998316,0.28,0.006811754546370556,9.090909090909091e-06,8.131156281817417e-06,220
0.28200000000000003,0.0033466401061362943,0.002,0.0017888543819998316,0.28,0.0037947331922020483,9.090909090909091e-06,8.131156281817417e-06,220
0.28,0.0,0.004,0.002190890230020664,0.276,0.002190890230020664,1.8181818181818182e-05,9.958591954639381e-06,220
0.28200000000000003,0.00438178046004132,0.0,0.0,0.28200000000000003,0.00438178046004132,0.0,0.0,220
0.288,0.0017888543819998231,0.008,0.005215361924162118,0.27999999999999997,0.005513619500836085,3.6363636363636364e-05,2.3706190564373265e-05,220
0.28800000000000003,0.005215361924162112,0.006,0.005366563145999495,0.28200000000000003,0.007483314773547878,2.7272727272727273e-05,2.439346884545225e-05,220
0.29800000000000004,0.005215361924162116,0.018,0.013971399357258383,0.28,0.014913081505845796,8.181818181818182e-05,6.350636071481083e-05,220
0.29400000000000004,0.003577708763999658,0.006,0.003577708763999663,0.28800000000000003,0.005059644256269403,2.7272727272727273e-05,1.6262312563634833e-05,220
0.3,0.0028284271247461922,0.004,0.002190890230020664,0.296,0.003577708763999665,1.8181818181818182e-05,9.958591954639381e-06,220
0.306,0.0035777087639996667,0.0,0.0,0.306,0.0035777087639996667,0.0,0.0,220
0.314,0.0060663003552412454,0.0,0.0,0.314,0.0060663003552412454,0.0,0.0,220
0.312,0.0017888543819998333,0.002,0.0017888543819998316,0.31,0.0025298221281347044,9.090909090909091e-06,8.131156281817417e-06,220
0.316,0.0021908902300206666,0.0,0.0,0.316,0.0021908902300206666,0.0,0.0,220
0.312,0.0052153619241621235,0.006,0.003577708763999663,0.306,0.006324555320336762,2.7272727272727273e-05,1.6262312563634833e-05,220
0.314,0.007266360849833986,0.0,0.0,0.314,0.007266360849833986,0.0,0.0,220
0.328,0.0017888543819998333,0.002,0.0017888543819998316,0.326,0.0025298221281347044,9.090909090909091e-06,8.131156281817417e-06,220
0.334,0.002190890230020666,0.0,0.0,0.334,0.002190890230020666,0.0,0.0,220
0.332,0.003346640106136305,0.006,0.003577708763999663,0.326,0.004898979485566358,2.7272727272727273e-05,1.6262312563634833e-05,220
0.338,0.0017888543819998333,0.002,0.0017888543819998316,0.336,0.0025298221281347044,9.090909090909091e-06,8.131156281817417e-06,220
0.332,0.005215361924162116,0.0,0.0,0.332,0.005215361924162116,0.0,0.0,220
0.34400000000000003,0.002190890230020654,0.01,0.00282842712474619,0.334,0.003577708763999657,4.545454545454546e-05,1.2856486930664501e-05,220
0.348,0.0017888543819998236,0.014000000000000002,0.012521980673998824,0.33399999999999996,0.012649110640673518,6.363636363636364e-05,5.691809397272193e-05,220
0.35,0.0,0.0,0.0,0.35,0.0,0.0,0.0,220
0.356,0.0077974354758471726,0.002,0.0017888543819998316,0.354,0.008000000000000002,9.090909090909091e-06,8.131156281817417e-06,220
0.35,0.0028284271247461844,0.004,0.002190890230020664,0.346,0.003577708763999659,1.8181818181818182e-05,9.958591954639381e-06,220
0.354,0.002190890230020666,0.004,0.002190890230020664,0.35,0.0030983866769659345,1.8181818181818182e-05,9.958591954639381e-06,220
0.356,0.0021908902300206666,0.006,0.005366563145999495,0.35,0.0057965506984757765,2.7272727272727273e-05,2.439346884545225e-05,220
0.366,0.002190890230020666,0.0,0.0,0.366,0.002190890230020666,0.0,0.0,220
0.36800000000000005,0.0017888543819998333,0.004,0.0021908902300206644,0.36400000000000005,0.002828427124746191,1.8181818181818182e-05,9.958591954639385e-06,220
0.36800000000000005,0.0017888543819998333,0.0,0.0,0.36800000000000005,0.0017888543819998333,0.0,0.0,220
0.37,0.0,0.0,0.0,0.37,0.0,0.0,0.0,220
0.37799999999999995,0.0017888543819998333,0.002,0.0017888543819998316,0.37599999999999995,0.0025298221281347044,9.090909090909091e-06,8.131156281817417e-06,220
0.38,0.0,0.0,0.0,0.38,0.0,0.0,0.0,220
0.38,0.0028284271247461922,0.0,0.0,0.38,0.0028284271247461922,0.0,0.0,220
0.386,0.0021908902300206666,0.002,0.0017888543819998316,0.384,0.0028284271247461914,9.090909090909091e-06,8.131156281817417e-06,220
0.39,0.0028284271247461922,0.0,0.0,0.39,0.0028284271247461922,0.0,0.0,220
0.392,0.0017888543819998333,0.0,0.0,0.392,0.0017888543819998333,0.0,0.0,220
0.392,0.003346640106136305,0.0,0.0,0.392,0.003346640106136305,0.0,0.0,220
0.4,0.0028284271247461844,0.0,0.0,0.4,0.0028284271247461844,0.0,0.0,220
0.39799999999999996,0.0017888543819998333,0.002,0.0017888543819998316,0.39599999999999996,0.0025298221281347044,9.090909090909091e-06,8.131156281817417e-06,220
0.40800000000000003,0.0017888543819998236,0.0,0.0,0.40800000000000003,0.0017888543819998236,0.0,0.0,220
0.40800000000000003,0.004381780460041323,0.002,0.0017888543819998316,0.406,0.004732863826479687,9.090909090909091e-06,8.131156281817417e-06,220
0.414,0.002190890230020666,0.004,0.003577708763999663,0.41,0.004195235392680607,1.8181818181818182e-05,1.6262312563634833e-05,220
0.414,0.005366563145999489,0.002,0.0017888543819998316,0.412,0.005656854249492374,9.090909090909091e-06,8.131156281817417e-06,220
0.41600000000000004,0.0021908902300206666,0.0,0.0,0.41600000000000004,0.0021908902300206666,0.0,0.0,220
0.41200000000000003,0.003346640106136297,0.0,0.0,0.41200000000000003,0.003346640106136297,0.0,0.0,220
0.426,0.002190890230020666,0.006,0.003577708763999663,0.42,0.004195235392680607,2.7272727272727273e-05,1.6262312563634833e-05,220
0.426,0.0035777087639996667,0.002,0.0017888543819998316,0.424,0.004000000000000003,9.090909090909091e-06,8.131156281817417e-06,220
0.434,0.002190890230020666,0.0,0.0,0.434,0.002190890230020666,0.0,0.0,220
0.434,0.0021908902300206666,0.0,0.0,0.434,0.0021908902300206666,0.0,0.0,220
0.434,0.002190890230020666,0.0,0.0,0.434,0.002190890230020666,0.0,0.0,220
0.446,0.007266360849833978,0.0,0.0,0.446,0.007266360849833978,0.0,0.0,220
0.446,0.002190890230020666,0.006,0.003577708763999663,0.44,0.004195235392680607,2.7272727272727273e-05,1.6262312563634833e-05,220
0.44400000000000006,0.002190890230020666,0.002,0.0017888543819998316,0.44200000000000006,0.0028284271247461914,9.090909090909091e-06,8.131156281817417e-06,220
0.45200000000000007,0.0017888543819998333,0.016,0.010039920318408908,0.43600000000000005,0.01019803902718557,7.272727272727273e-05,4.563600144731322e-05,220
0.454,0.0021908902300206666,0.0,0.0,0.454,0.0021908902300206666,0.0,0.0,220
0.45,0.0,0.002,0.0017888543819998316,0.448,0.0017888543819998316,9.090909090909091e-06,8.131156281817417e-06,220
0.454,0.002190890230020666,0.0,0.0,0.454,0.002190890230020666,0.0,0.0,220
0.4619999999999999,0.0033466401061362943,0.012,0.00867179335547152,0.4499999999999999,0.009295160030897798,5.4545454545454546e-05,3.9417242524870546e-05,220
0.4619999999999999,0.00438178046004132,0.016,0.012198360545581526,0.4459999999999999,0.01296148139681572,7.272727272727273e-05,5.5447093389006936e-05,220
0.46399999999999997,0.002190890230020654,0.0,0.0,0.46399999999999997,0.002190890230020654,0.0,0.0,220
