Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
1.004,0.0035777087639996667,0.022000000000000002,0.011099549540409287,0.982,0.011661903789690602,0.0001,5.0452497910951304e-05,220
1.01,0.0,0.01,0.004898979485566356,1.0,0.004898979485566356,4.545454545454546e-05,2.226808857075616e-05,220
1.016,0.002190890230020666,0.008,0.0033466401061363017,1.008,0.004,3.6363636363636364e-05,1.5212000482437735e-05,220
1.0219999999999998,0.004381780460041333,0.022,0.0130843417870369,0.9999999999999998,0.013798550648528272,9.999999999999999e-05,5.947428085016773e-05,220
1.0219999999999998,0.0017888543819998333,0.006,0.0021908902300206644,1.0159999999999998,0.002828427124746191,2.7272727272727273e-05,9.958591954639385e-06,220
1.018,0.006572670690061999,0.012,0.0017888543819998316,1.006,0.006811754546370566,5.4545454545454546e-05,8.131156281817417e-06,220
1.028,0.004381780460041332,0.016,0.005366563145999495,1.012,0.006928203230275511,7.272727272727273e-05,2.439346884545225e-05,220
1.0400000000000003,0.00489897948556636,0.012,0.0033466401061363017,1.0280000000000002,0.005932958789676534,5.4545454545454546e-05,1.5212000482437735e-05,220
1.034,0.002190890230020666,0.004,0.0021908902300206644,1.03,0.0030983866769659345,1.8181818181818182e-05,9.958591954639385e-06,220
1.038,0.0017888543819998333,0.01,0.00282842712474619,1.028,0.003346640106136303,4.545454545454546e-05,1.2856486930664501e-05,220
1.038,0.004381780460041332,0.013999999999999999,0.004560701700396551,1.024,0.0063245553203367605,6.363636363636363e-05,2.073046227452978e-05,220
1.046,0.002190890230020666,0.013999999999999999,0.003577708763999663,1.032,0.004195235392680607,6.363636363636363e-05,1.6262312563634833e-05,220
1.044,0.002190890230020666,0.006,0.002190890230020664,1.038,0.0030983866769659345,2.7272727272727273e-05,9.958591954639381e-06,220
1.052,0.0017888543819998333,0.002,0.0017888543819998316,1.05,0.0025298221281347044,9.090909090909091e-06,8.131156281817417e-06,220
1.054,0.0021908902300206666,0.008,0.0017888543819998316,1.046,0.0028284271247461914,3.6363636363636364e-05,8.131156281817417e-06,220
1.048,0.004381780460041332,0.008,0.0017888543819998316,1.04,0.004732863826479696,3.6363636363636364e-05,8.131156281817417e-06,220
1.052,0.007155417527999333,0.006,0.002190890230020664,1.046,0.0074833147735478885,2.7272727272727273e-05,9.958591954639381e-06,220
1.0580000000000003,0.0017888543819998333,0.008,0.0017888543819998316,1.0500000000000003,0.0025298221281347044,3.6363636363636364e-05,8.131156281817417e-06,220
1.066,0.0021908902300206666,0.01,0.00282842712474619,1.056,0.003577708763999665,4.545454545454546e-05,1.2856486930664501e-05,220
1.0700000000000003,0.0028284271247461922,0.008,0.0017888543819998316,1.0620000000000003,0.003346640106136304,3.6363636363636364e-05,8.131156281817417e-06,220
1.074,0.002190890230020666,0.019999999999999997,0.008944271909999158,1.054,0.00920869154657707,9.090909090909089e-05,4.0655781409087084e-05,220
1.062,0.005932958789676535,0.008,0.0017888543819998316,1.054,0.006196773353931872,3.6363636363636364e-05,8.131156281817417e-06,220
1.076,0.002190890230020666,0.01,0.00282842712474619,1.066,0.0035777087639996645,4.545454545454546e-05,1.2856486930664501e-05,220
1.082,0.0017888543819998333,0.008,0.0017888543819998316,1.074,0.0025298221281347044,3.6363636363636364e-05,8.131156281817417e-06,220
1.09,0.0,0.01,0.00282842712474619,1.08,0.00282842712474619,4.545454545454546e-05,1.2856486930664501e-05,220
1.086,0.002190890230020666,0.018000000000000002,0.011798304963002102,1.068,0.012000000000000002,8.181818181818183e-05,5.362865892273683e-05,220
1.0900000000000003,0.004898979485566361,0.006,0.002190890230020664,1.0840000000000003,0.005366563145999499,2.7272727272727273e-05,9.958591954639381e-06,220
1.098,0.003346640106136305,0.006,0.002190890230020664,1.092,0.004000000000000002,2.7272727272727273e-05,9.958591954639381e-06,220
1.102,0.0017888543819998333,0.008,0.0017888543819998316,1.094,0.0025298221281347044,3.6363636363636364e-05,8.131156281817417e-06,220
1.108,0.003346640106136305,0.006,0.002190890230020664,1.102,0.004000000000000002,2.7272727272727273e-05,9.958591954639381e-06,220
1.096,0.002190890230020666,0.01,0.0,1.086,0.002190890230020666,4.545454545454546e-05,0.0,220
1.118,0.007694153624668507,0.004,0.002190890230020664,1.114,0.00799999999999997,1.8181818181818182e-05,9.958591954639381e-06,220
1.11,0.0,0.006,0.003577708763999663,1.104,0.003577708763999663,2.7272727272727273e-05,1.6262312563634833e-05,220
1.116,0.0035777087639996667,0.006,0.0021908902300206644,1.11,0.004195235392680609,2.7272727272727273e-05,9.958591954639385e-06,220
1.118,0.0017888543819998333,0.008,0.0017888543819998316,1.11,0.0025298221281347044,3.6363636363636364e-05,8.131156281817417e-06,220
1.124,0.0021908902300206176,0.008,0.0017888543819998316,1.116,0.0028284271247461536,3.6363636363636364e-05,8.131156281817417e-06,220
1.122,0.0033466401061362622,0.012,0.0017888543819998316,1.11,0.0037947331922020197,5.4545454545454546e-05,8.131156281817417e-06,220
1.128,0.004381780460041296,0.023999999999999997,0.014859340496805366,1.1039999999999999,0.015491933384829657,0.00010909090909090908,6.754245680366076e-05,220
1.132,0.0017888543819998333,0.006,0.003577708763999663,1.126,0.004,2.7272727272727273e-05,1.6262312563634833e-05,220
1.1379999999999997,0.0017888543819998333,0.004,0.0021908902300206644,1.1339999999999997,0.002828427124746191,1.8181818181818182e-05,9.958591954639385e-06,220
1.1359999999999997,0.002190890230020666,0.008,0.0033466401061363017,1.1279999999999997,0.004,3.6363636363636364e-05,1.5212000482437735e-05,220
1.138,0.0017888543819998333,0.014000000000000002,0.006066300355241241,1.1239999999999999,0.00632455532033676,6.363636363636364e-05,2.7574092523823822e-05,220
1.1480000000000001,0.013084341787036878,0.008,0.0017888543819998316,1.1400000000000001,0.01320605921537532,3.6363636363636364e-05,8.131156281817417e-06,220
1.146,0.002190890230020666,0.002,0.0017888543819998316,1.144,0.0028284271247461914,9.090909090909091e-06,8.131156281817417e-06,220
1.142,0.004381780460041332,0.008,0.0017888543819998316,1.134,0.004732863826479696,3.6363636363636364e-05,8.131156281817417e-06,220
1.1480000000000001,0.006572670690061961,0.006,0.005366563145999495,1.1420000000000001,0.008485281374238545,2.7272727272727273e-05,2.439346884545225e-05,220
1.15,0.007483314773547854,0.012,0.0017888543819998316,1.138,0.007694153624668509,5.4545454545454546e-05,8.131156281817417e-06,220
1.158,0.004381780460041332,0.006,0.003577708763999663,1.152,0.005656854249492383,2.7272727272727273e-05,1.6262312563634833e-05,220
1.154,0.005366563145999499,0.01,0.00282842712474619,1.144,0.006066300355241244,4.545454545454546e-05,1.2856486930664501e-05,220
1.1620000000000001,0.003346640106136305,0.006,0.002190890230020664,1.1560000000000001,0.004000000000000002,2.7272727272727273e-05,9.958591954639381e-06,220
1.17,0.0028284271247461922,0.006,0.002190890230020664,1.164,0.003577708763999665,2.7272727272727273e-05,9.958591954639381e-06,220
1.1759999999999997,0.0035777087639996667,0.004,0.002190890230020664,1.1719999999999997,0.004195235392680609,1.8181818181818182e-05,9.958591954639381e-06,220
1.174,0.002190890230020666,0.008,0.0033466401061363017,1.166,0.004,3.6363636363636364e-05,1.5212000482437735e-05,220
1.1779999999999997,0.0017888543819998333,0.006,0.003577708763999663,1.1719999999999997,0.004,2.7272727272727273e-05,1.6262312563634833e-05,220
1.182,0.0017888543819998333,0.004,0.0021908902300206644,1.178,0.002828427124746191,1.8181818181818182e-05,9.958591954639385e-06,220
1.1839999999999997,0.002190890230020666,0.008,0.0033466401061363017,1.1759999999999997,0.004,3.6363636363636364e-05,1.5212000482437735e-05,220
1.1919999999999997,0.0017888543819998333,0.01,0.0,1.1819999999999997,0.0017888543819998333,4.545454545454546e-05,0.0,220
1.1800000000000002,0.006928203230275515,0.012,0.005215361924162118,1.1680000000000001,0.008671793355471524,5.4545454545454546e-05,2.3706190564373265e-05,220
1.188,0.004381780460041332,0.008,0.0033466401061363017,1.18,0.005513619500836091,3.6363636363636364e-05,1.5212000482437735e-05,220
1.2,0.0,0.006,0.002190890230020664,1.194,0.002190890230020664,2.7272727272727273e-05,9.958591954639381e-06,220
1.198,0.008671793355471526,0.006,0.002190890230020664,1.192,0.008944271909999165,2.7272727272727273e-05,9.958591954639381e-06,220
1.208,0.007155417527999333,0.008,0.0017888543819998316,1.2,0.007375635565834316,3.6363636363636364e-05,8.131156281817417e-06,220
1.206,0.0035777087639996667,0.006,0.0021908902300206644,1.2,0.004195235392680609,2.7272727272727273e-05,9.958591954639385e-06,220
1.208,0.0052153619241621235,0.006,0.002190890230020664,1.202,0.0056568542494923844,2.7272727272727273e-05,9.958591954639381e-06,220
1.2099999999999997,0.00489897948556636,0.006,0.002190890230020664,1.2039999999999997,0.0053665631459994985,2.7272727272727273e-05,9.958591954639381e-06,220
1.2159999999999997,0.002190890230020666,0.01,0.0,1.2059999999999997,0.002190890230020666,4.545454545454546e-05,0.0,220
1.2260000000000002,0.002190890230020666,0.008,0.0017888543819998316,1.2180000000000002,0.0028284271247461914,3.6363636363636364e-05,8.131156281817417e-06,220
1.2280000000000002,0.0017888543819998333,0.006,0.002190890230020664,1.2220000000000002,0.002828427124746191,2.7272727272727273e-05,9.958591954639381e-06,220
1.234,0.006066300355241246,0.008,0.0017888543819998316,1.226,0.006324555320336764,3.6363636363636364e-05,8.131156281817417e-06,220
1.234,0.0035777087639996667,0.012,0.004381780460041328,1.222,0.005656854249492382,5.4545454545454546e-05,1.9917183909278762e-05,220
1.236,0.0060663003552412454,0.006,0.002190890230020664,1.23,0.006449806198638845,2.7272727272727273e-05,9.958591954639381e-06,220
1.238,0.004381780460041332,0.006,0.002190890230020664,1.232,0.004898979485566359,2.7272727272727273e-05,9.958591954639381e-06,220
1.24,0.0,0.006,0.002190890230020664,1.234,0.002190890230020664,2.7272727272727273e-05,9.958591954639381e-06,220
1.242,0.003346640106136305,0.006,0.0021908902300206644,1.236,0.004000000000000003,2.7272727272727273e-05,9.958591954639385e-06,220
1.258,0.007155417527999333,0.008,0.0033466401061363017,1.25,0.007899367063252605,3.6363636363636364e-05,1.5212000482437735e-05,220
1.252,0.004381780460041332,0.01,0.00282842712474619,1.242,0.005215361924162122,4.545454545454546e-05,1.2856486930664501e-05,220
1.248,0.0017888543819998333,0.008,0.0017888543819998316,1.24,0.0025298221281347044,3.6363636363636364e-05,8.131156281817417e-06,220
1.254,0.002190890230020666,0.01,0.00282842712474619,1.244,0.0035777087639996645,4.545454545454546e-05,1.2856486930664501e-05,220
1.27,0.008944271909999166,0.022,0.010733126291998992,1.248,0.01397139935725839,9.999999999999999e-05,4.878693769090451e-05,220
1.262,0.0017888543819998333,0.022000000000000002,0.011099549540409287,1.24,0.011242775458044156,0.0001,5.0452497910951304e-05,220
1.264,0.002190890230020666,0.006,0.002190890230020664,1.258,0.0030983866769659345,2.7272727272727273e-05,9.958591954639381e-06,220
1.27,0.0,0.008,0.0033466401061363017,1.262,0.0033466401061363017,3.6363636363636364e-05,1.5212000482437735e-05,220
1.27,0.0,0.008,0.0017888543819998316,1.262,0.0017888543819998316,3.6363636363636364e-05,8.131156281817417e-06,220
1.278,0.0017888543819998333,0.014000000000000002,0.004560701700396551,1.264,0.004898979485566356,6.363636363636364e-05,2.073046227452978e-05,220
1.276,0.0035777087639996667,0.013999999999999999,0.002190890230020664,1.262,0.004195235392680609,6.363636363636363e-05,9.958591954639381e-06,220
1.286,0.005366563145999499,0.01,0.00282842712474619,1.276,0.006066300355241244,4.545454545454546e-05,1.2856486930664501e-05,220
1.28,0.00489897948556636,0.01,0.0,1.27,0.00489897948556636,4.545454545454546e-05,0.0,220
1.288,0.004381780460041332,0.01,0.0,1.278,0.004381780460041332,4.545454545454546e-05,0.0,220
1.276,0.00669328021227261,0.008,0.0017888543819998316,1.268,0.006928203230275515,3.6363636363636364e-05,8.131156281817417e-06,220
1.298,0.0017888543819998333,0.008,0.0017888543819998316,1.29,0.0025298221281347044,3.6363636363636364e-05,8.131156281817417e-06,220
1.3,0.0,0.01,0.0,1.29,0.0,4.545454545454546e-05,0.0,220
1.3060000000000003,0.002190890230020666,0.014000000000000002,0.008294576541331089,1.2920000000000003,0.008579044235810887,6.363636363636364e-05,3.770262064241404e-05,220
1.308,0.0017888543819998333,0.012,0.0033466401061363017,1.296,0.0037947331922020553,5.4545454545454546e-05,1.5212000482437735e-05,220
1.31,0.0,0.012,0.006572670690061994,1.298,0.006572670690061994,5.4545454545454546e-05,2.9875775863918154e-05,220
1.3080000000000003,0.003346640106136305,0.006,0.002190890230020664,1.3020000000000003,0.004000000000000002,2.7272727272727273e-05,9.958591954639381e-06,220
1.3160000000000003,0.0035777087639996667,0.008,0.0017888543819998316,1.3080000000000003,0.004000000000000003,3.6363636363636364e-05,8.131156281817417e-06,220
1.328,0.007155417527999333,0.01,0.00282842712474619,1.318,0.007694153624668544,4.545454545454546e-05,1.2856486930664501e-05,220
1.32,0.0,0.008,0.004381780460041328,1.312,0.004381780460041328,3.6363636363636364e-05,1.9917183909278762e-05,220
