Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.02,0.0,0.006,0.002190890230020664,0.014,0.002190890230020664,2.7272727272727273e-05,9.958591954639381e-06,220
0.03,0.0,0.006,0.002190890230020664,0.024,0.002190890230020664,2.7272727272727273e-05,9.958591954639381e-06,220
0.028000000000000004,0.0017888543819998314,0.01,0.0,0.018000000000000002,0.0017888543819998314,4.545454545454546e-05,0.0,220
0.028000000000000004,0.0017888543819998314,0.008,0.0017888543819998316,0.020000000000000004,0.002529822128134703,3.6363636363636364e-05,8.131156281817417e-06,220
0.026000000000000002,0.0021908902300206636,0.006,0.0021908902300206644,0.020000000000000004,0.003098386676965933,2.7272727272727273e-05,9.958591954639385e-06,220
0.024,0.0021908902300206636,0.006,0.002190890230020664,0.018000000000000002,0.003098386676965933,2.7272727272727273e-05,9.958591954639381e-06,220
0.03,0.0,0.006,0.002190890230020664,0.024,0.002190890230020664,2.7272727272727273e-05,9.958591954639381e-06,220
0.03,0.0,0.006,0.002190890230020664,0.024,0.002190890230020664,2.7272727272727273e-05,9.958591954639381e-06,220
0.030000000000000006,0.00282842712474619,0.008,0.0033466401061363017,0.022000000000000006,0.004381780460041328,3.6363636363636364e-05,1.5212000482437735e-05,220
0.032,0.005215361924162118,0.012,0.006572670690061994,0.02,0.008390470785361212,5.4545454545454546e-05,2.9875775863918154e-05,220
0.04,0.0,0.01,0.00282842712474619,0.03,0.00282842712474619,4.545454545454546e-05,1.2856486930664501e-05,220
0.044000000000000004,0.003577708763999664,0.004,0.002190890230020664,0.04000000000000001,0.004195235392680606,1.8181818181818182e-05,9.958591954639381e-06,220
0.044,0.003577708763999664,0.006,0.0021908902300206644,0.038,0.004195235392680607,2.7272727272727273e-05,9.958591954639385e-06,220
0.054000000000000006,0.003577708763999663,0.018,0.0117983049630021,0.036000000000000004,0.012328828005937952,8.181818181818182e-05,5.3628658922736824e-05,220
0.05,0.0,0.022,0.015336231610144652,0.028000000000000004,0.015336231610144652,9.999999999999999e-05,6.971014368247569e-05,220
0.052000000000000005,0.0017888543819998305,0.008,0.0017888543819998316,0.044000000000000004,0.002529822128134702,3.6363636363636364e-05,8.131156281817417e-06,220
0.06,0.0,0.01,0.004898979485566356,0.049999999999999996,0.004898979485566356,4.545454545454546e-05,2.226808857075616e-05,220
0.055999999999999994,0.0021908902300206636,0.008,0.0017888543819998316,0.047999999999999994,0.0028284271247461896,3.6363636363636364e-05,8.131156281817417e-06,220
0.066,0.003577708763999663,0.01,0.00282842712474619,0.056,0.004560701700396552,4.545454545454546e-05,1.2856486930664501e-05,220
0.064,0.0021908902300206666,0.006,0.002190890230020664,0.058,0.0030983866769659345,2.7272727272727273e-05,9.958591954639381e-06,220
0.064,0.005366563145999496,0.006,0.002190890230020664,0.058,0.005796550698475776,2.7272727272727273e-05,9.958591954639381e-06,220
0.07,0.004898979485566356,0.01,0.004898979485566356,0.060000000000000005,0.006928203230275509,4.545454545454546e-05,2.226808857075616e-05,220
0.08,0.0,0.008,0.0017888543819998316,0.07200000000000001,0.0017888543819998316,3.6363636363636364e-05,8.131156281817417e-06,220
0.08,0.0,0.01,0.00282842712474619,0.07,0.00282842712474619,4.545454545454546e-05,1.2856486930664501e-05,220
0.082,0.0033466401061363004,0.01,0.0,0.07200000000000001,0.0033466401061363004,4.545454545454546e-05,0.0,220
0.088,0.004381780460041328,0.006,0.002190890230020664,0.08199999999999999,0.004898979485566355,2.7272727272727273e-05,9.958591954639381e-06,220
0.1,0.00692820323027551,0.006,0.0021908902300206644,0.094,0.007266360849833981,2.7272727272727273e-05,9.958591954639385e-06,220
0.08800000000000001,0.00867179335547152,0.004,0.0021908902300206644,0.084,0.00894427190999916,1.8181818181818182e-05,9.958591954639385e-06,220
0.1,0.0,0.022,0.011798304963002102,0.07800000000000001,0.011798304963002102,9.999999999999999e-05,5.362865892273683e-05,220
0.10600000000000001,0.005366563145999494,0.006,0.002190890230020664,0.1,0.005796550698475775,2.7272727272727273e-05,9.958591954639381e-06,220
0.1,0.0028284271247461905,0.008,0.0033466401061363017,0.092,0.004381780460041329,3.6363636363636364e-05,1.5212000482437735e-05,220
0.122,0.010733126291998992,0.006,0.003577708763999663,0.11599999999999999,0.011313708498984762,2.7272727272727273e-05,1.6262312563634833e-05,220
0.11399999999999999,0.014310835055998653,0.01,0.0,0.104,0.014310835055998653,4.545454545454546e-05,0.0,220
0.11399999999999999,0.003577708763999661,0.012,0.004381780460041328,0.102,0.005656854249492378,5.4545454545454546e-05,1.9917183909278762e-05,220
0.126,0.0077974354758471726,0.01,0.004898979485566356,0.116,0.009208691546577072,4.545454545454546e-05,2.226808857075616e-05,220
0.122,0.0017888543819998333,0.012,0.0033466401061363017,0.11,0.0037947331922020553,5.4545454545454546e-05,1.5212000482437735e-05,220
0.12,0.0028284271247461905,0.004,0.002190890230020664,0.11599999999999999,0.0035777087639996636,1.8181818181818182e-05,9.958591954639381e-06,220
0.126,0.0021908902300206666,0.008,0.0017888543819998316,0.118,0.0028284271247461914,3.6363636363636364e-05,8.131156281817417e-06,220
0.13,0.0,0.016,0.005366563145999495,0.114,0.005366563145999495,7.272727272727273e-05,2.439346884545225e-05,220
0.122,0.00438178046004133,0.008,0.0017888543819998316,0.11399999999999999,0.004732863826479693,3.6363636363636364e-05,8.131156281817417e-06,220
0.138,0.0017888543819998333,0.008,0.0033466401061363017,0.13,0.0037947331922020553,3.6363636363636364e-05,1.5212000482437735e-05,220
0.14200000000000002,0.0017888543819998281,0.008,0.0033466401061363017,0.134,0.003794733192202053,3.6363636363636364e-05,1.5212000482437735e-05,220
0.138,0.0033466401061363013,0.01,0.0,0.128,0.0033466401061363013,4.545454545454546e-05,0.0,220
0.14800000000000002,0.0017888543819998281,0.02,0.01131370849898476,0.12800000000000003,0.011454256850621082,9.090909090909092e-05,5.1425947722658004e-05,220
0.14800000000000002,0.0017888543819998281,0.01,0.00282842712474619,0.138,0.0033466401061363004,4.545454545454546e-05,1.2856486930664501e-05,220
0.152,0.0033466401061363013,0.006,0.0021908902300206644,0.146,0.003999999999999999,2.7272727272727273e-05,9.958591954639385e-06,220
0.14400000000000002,0.00456070170039655,0.008,0.0017888543819998316,0.136,0.004898979485566355,3.6363636363636364e-05,8.131156281817417e-06,220
0.158,0.0017888543819998333,0.006,0.003577708763999663,0.152,0.004,2.7272727272727273e-05,1.6262312563634833e-05,220
0.162,0.0017888543819998333,0.01,0.00282842712474619,0.152,0.003346640106136303,4.545454545454546e-05,1.2856486930664501e-05,220
0.162,0.0017888543819998333,0.006,0.002190890230020664,0.156,0.002828427124746191,2.7272727272727273e-05,9.958591954639381e-06,220
0.162,0.003346640106136305,0.02,0.013564659966250536,0.14200000000000002,0.013971399357258385,9.090909090909092e-05,6.16575453011388e-05,220
0.168,0.0017888543819998333,0.008,0.0017888543819998316,0.16,0.0025298221281347044,3.6363636363636364e-05,8.131156281817417e-06,220
0.176,0.00219089023002066,0.004,0.0021908902300206644,0.172,0.0030983866769659306,1.8181818181818182e-05,9.958591954639385e-06,220
0.176,0.003577708763999661,0.008,0.0017888543819998316,0.16799999999999998,0.0039999999999999975,3.6363636363636364e-05,8.131156281817417e-06,220
0.176,0.003577708763999661,0.004,0.002190890230020664,0.172,0.004195235392680604,1.8181818181818182e-05,9.958591954639381e-06,220
0.19,0.00692820323027551,0.008,0.0017888543819998316,0.182,0.007155417527999328,3.6363636363636364e-05,8.131156281817417e-06,220
0.188,0.0017888543819998333,0.022,0.0130843417870369,0.166,0.013206059215375342,9.999999999999999e-05,5.947428085016773e-05,220
0.184,0.005366563145999494,0.008,0.0017888543819998316,0.176,0.005656854249492379,3.6363636363636364e-05,8.131156281817417e-06,220
0.192,0.009121403400793104,0.014000000000000002,0.004560701700396551,0.178,0.010198039027185569,6.363636363636364e-05,2.073046227452978e-05,220
0.198,0.0017888543819998333,0.01,0.004,0.188,0.00438178046004133,4.545454545454546e-05,1.8181818181818182e-05,220
0.202,0.0017888543819998281,0.01,0.00282842712474619,0.192,0.0033466401061363004,4.545454545454546e-05,1.2856486930664501e-05,220
0.202,0.0017888543819998281,0.012,0.0033466401061363017,0.19,0.003794733192202053,5.4545454545454546e-05,1.5212000482437735e-05,220
0.20800000000000002,0.0017888543819998281,0.008,0.0033466401061363017,0.2,0.003794733192202053,3.6363636363636364e-05,1.5212000482437735e-05,220
0.21200000000000002,0.0033466401061363013,0.012,0.0017888543819998316,0.2,0.0037947331922020544,5.4545454545454546e-05,8.131156281817417e-06,220
0.21799999999999997,0.009549869109050658,0.024,0.012521980673998824,0.19399999999999998,0.015748015748023623,0.00010909090909090909,5.691809397272193e-05,220
0.21600000000000003,0.003577708763999661,0.004,0.002190890230020664,0.21200000000000002,0.004195235392680604,1.8181818181818182e-05,9.958591954639381e-06,220
0.22200000000000003,0.0017888543819998333,0.01,0.0,0.21200000000000002,0.0017888543819998333,4.545454545454546e-05,0.0,220
0.22999999999999998,0.011661903789690602,0.008,0.0017888543819998316,0.22199999999999998,0.011798304963002102,3.6363636363636364e-05,8.131156281817417e-06,220
0.22800000000000004,0.0017888543819998333,0.006,0.003577708763999663,0.22200000000000003,0.004,2.7272727272727273e-05,1.6262312563634833e-05,220
0.238,0.0052153619241621174,0.008,0.0033466401061363017,0.22999999999999998,0.006196773353931866,3.6363636363636364e-05,1.5212000482437735e-05,220
0.22800000000000004,0.006572670690061989,0.006,0.0021908902300206644,0.22200000000000003,0.006928203230275505,2.7272727272727273e-05,9.958591954639385e-06,220
0.23399999999999999,0.00357770876399966,0.008,0.0017888543819998316,0.22599999999999998,0.003999999999999997,3.6363636363636364e-05,8.131156281817417e-06,220
0.24,0.0,0.008,0.0017888543819998316,0.23199999999999998,0.0017888543819998316,3.6363636363636364e-05,8.131156281817417e-06,220
0.246,0.0021908902300206666,0.02,0.009380831519646858,0.226,0.009633275663033835,9.090909090909092e-05,4.264014327112208e-05,220
0.256,0.007797435475847167,0.022,0.005215361924162118,0.234,0.009380831519646856,9.999999999999999e-05,2.3706190564373265e-05,220
0.258,0.007155417527999322,0.006,0.0021908902300206644,0.252,0.007483314773547878,2.7272727272727273e-05,9.958591954639385e-06,220
0.252,0.003346640106136305,0.022,0.013386560424545208,0.23,0.013798550648528272,9.999999999999999e-05,6.0848001929750946e-05,220
0.254,0.0035777087639996667,0.01,0.004,0.244,0.005366563145999498,4.545454545454546e-05,1.8181818181818182e-05,220
